Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
06-01-08,34,21,87,2,19
13-01-08,35,20,83,2,18
20-01-08,35,20,88,2,20
27-01-08,40,21,83,1,21
03-02-08,43,22,85,2,23
10-02-08,41,20,82,1,21
17-02-08,41,21,82,2,21
24-02-08,42,21,84,2,19
02-03-08,40,20,84,2,18
09-03-08,38,20,83,1,18
16-03-08,35,19,80,2,16
23-03-08,37,20,83,2,16
30-03-08,35,20,86,2,16
06-04-08,37,19,90,1,14
13-04-08,35,19,89,2,14
20-04-08,35,19,90,1,14
27-04-08,33,18,87,1,13
04-05-08,36,19,87,1,13
11-05-08,34,20,87,1,13
18-05-08,32,19,87,2,13
25-05-08,33,19,88,1,13
01-06-08,31,20,88,1,11
08-06-08,33,19,87,1,11
15-06-08,31,21,92,1,11
22-06-08,31,19,96,2,11
29-06-08,32,20,100,2,11
06-07-08,30,19,97,1,11
13-07-08,29,20,93,1,11
20-07-08,29,21,96,1,11
27-07-08,29,20,94,1,10
03-08-08,28,21,91,2,11
10-08-08,28,21,85,1,10
17-08-08,28,21,85,1,10
24-08-08,28,21,82,1,11
31-08-08,29,21,81,1,12
07-09-08,29,21,83,1,12
14-09-08,29,21,80,1,13
21-09-08,31,21,83,1,14
28-09-08,29,21,80,1,14
05-10-08,30,22,82,1,15
12-10-08,31,22,82,1,14
19-10-08,31,21,85,1,16
26-10-08,31,20,86,1,16
02-11-08,29,21,81,1,16
09-11-08,32,22,86,1,18
16-11-08,31,22,83,1,18
23-11-08,30,19,75,1,17
30-11-08,30,21,84,1,19
07-12-08,32,21,82,1,18
14-12-08,30,19,77,1,18
21-12-08,29,18,80,2,19
28-12-08,31,22,91,1,21
