Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
03-01-10,29,21,100,1,17
10-01-10,29,22,87,1,15
17-01-10,29,22,83,1,16
24-01-10,31,22,79,1,16
31-01-10,30,21,79,1,17
07-02-10,31,22,76,1,16
14-02-10,32,22,76,1,17
21-02-10,31,22,80,1,17
28-02-10,32,22,77,1,16
07-03-10,31,22,79,1,16
14-03-10,32,21,78,1,15
21-03-10,31,21,80,1,15
28-03-10,29,21,80,1,14
04-04-10,30,20,89,1,14
11-04-10,30,19,85,1,14
18-04-10,31,20,88,1,14
25-04-10,32,21,89,1,14
02-05-10,32,21,86,1,14
09-05-10,31,21,85,1,13
16-05-10,32,22,84,1,13
23-05-10,30,21,82,1,13
30-05-10,30,21,83,1,13
06-06-10,29,21,84,1,12
13-06-10,28,21,83,1,12
20-06-10,28,21,86,1,19
27-06-10,28,21,83,1,15
04-07-10,29,22,78,1,14
11-07-10,30,23,81,1,14
18-07-10,31,23,83,1,15
25-07-10,30,24,81,1,15
01-08-10,31,23,78,1,14
08-08-10,29,24,77,1,13
15-08-10,29,23,79,1,15
22-08-10,29,23,77,1,14
29-08-10,30,23,78,1,15
05-09-10,29,22,75,1,16
12-09-10,30,23,77,1,20
19-09-10,30,24,77,1,19
26-09-10,29,23,75,1,18
03-10-10,29,22,75,1,18
10-10-10,29,23,74,1,18
17-10-10,30,24,77,1,21
24-10-10,30,23,80,1,20
31-10-10,49,22,76,1,20
07-11-10,32,24,77,1,20
14-11-10,31,24,81,1,21
21-11-10,29,21,68,1,20
28-11-10,30,22,76,1,21
05-12-10,30,22,74,1,20
12-12-10,31,21,72,1,20
19-12-10,32,21,70,1,22
26-12-10,34,24,81,1,24
