Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
05-01-14,30,24,81,1,24
12-01-14,30,23,78,1,22
19-01-14,30,23,73,1,22
26-01-14,29,23,74,1,21
02-02-14,29,22,69,1,19
09-02-14,28,21,68,1,18
16-02-14,27,23,71,1,18
23-02-14,28,23,72,1,18
02-03-14,26,22,70,0,17
09-03-14,27,23,71,0,18
16-03-14,27,22,70,0,18
23-03-14,28,22,71,0,17
30-03-14,27,22,70,0,17
06-04-14,28,22,70,0,17
13-04-14,26,21,69,0,17
20-04-14,27,22,71,0,17
27-04-14,27,21,69,0,16
04-05-14,27,21,70,0,16
11-05-14,27,21,70,0,16
18-05-14,27,21,70,0,16
25-05-14,26,22,69,0,16
01-06-14,25,21,70,0,15
08-06-14,25,21,70,0,14
15-06-14,24,21,73,0,16
22-06-14,24,22,72,0,14
29-06-14,24,22,69,0,13
06-07-14,25,22,74,1,12
13-07-14,24,23,75,0,12
20-07-14,24,23,75,0,12
27-07-14,24,22,76,0,12
03-08-14,25,23,78,0,12
10-08-14,23,23,79,0,12
17-08-14,24,23,93,0,12
24-08-14,23,22,100,0,12
31-08-14,25,22,81,0,14
07-09-14,24,21,78,0,15
14-09-14,25,22,78,0,16
21-09-14,24,22,74,0,16
28-09-14,26,22,75,0,16
05-10-14,28,24,75,0,16
12-10-14,29,24,76,0,17
19-10-14,27,23,78,0,17
26-10-14,27,23,83,0,17
02-11-14,26,23,76,1,18
09-11-14,26,23,76,1,19
16-11-14,26,22,68,1,20
23-11-14,26,21,58,1,21
30-11-14,27,23,67,0,21
07-12-14,29,22,67,1,23
14-12-14,32,22,66,1,26
21-12-14,35,22,69,1,30
28-12-14,33,25,70,1,30
