Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
06-01-13,24,17,56,0,19
13-01-13,23,16,51,0,17
20-01-13,23,16,52,0,17
27-01-13,22,16,51,0,16
03-02-13,22,16,49,0,15
10-02-13,20,15,48,0,15
17-02-13,20,16,49,0,14
24-02-13,20,15,48,0,14
03-03-13,19,15,49,0,14
10-03-13,20,15,48,0,14
17-03-13,20,15,50,0,13
24-03-13,19,15,54,0,13
31-03-13,19,15,58,0,12
07-04-13,20,15,55,0,12
14-04-13,18,14,52,0,10
21-04-13,19,15,55,0,11
28-04-13,19,14,54,0,11
05-05-13,19,14,54,0,11
12-05-13,18,15,61,0,11
19-05-13,17,14,65,0,10
26-05-13,18,14,55,0,10
02-06-13,17,15,59,0,10
09-06-13,17,15,53,0,9
16-06-13,17,15,50,0,9
23-06-13,17,15,51,0,9
30-06-13,17,15,48,0,8
07-07-13,17,16,51,0,8
14-07-13,17,15,51,0,8
21-07-13,16,16,53,0,9
28-07-13,16,16,55,0,9
04-08-13,16,16,80,0,8
11-08-13,16,16,54,0,8
18-08-13,16,16,53,0,9
25-08-13,17,15,49,0,9
01-09-13,17,15,49,0,10
08-09-13,17,15,51,0,11
15-09-13,17,15,49,0,11
22-09-13,17,16,51,0,14
29-09-13,17,15,51,0,12
06-10-13,17,16,50,0,12
13-10-13,17,16,51,0,12
20-10-13,18,16,54,0,12
27-10-13,17,15,54,0,13
03-11-13,17,16,53,0,14
10-11-13,18,16,61,0,15
17-11-13,18,16,100,0,14
24-11-13,16,14,95,0,14
01-12-13,18,15,58,0,14
08-12-13,19,15,55,0,14
15-12-13,20,15,54,0,15
22-12-13,22,15,77,0,18
29-12-13,23,17,63,0,19
